Id,SalePrice
1461,128390.5
1462,155437.5
1463,182337.24
1464,183361.14
1465,202411.97
1466,182604.64
1467,166244.96
1468,176095.18
1469,179712.03
1470,118577.0
1471,193872.65
1472,95279.0
1473,94850.0
1474,151535.0
1475,148215.95
1476,394188.68
1477,263333.32
1478,307918.72
1479,241294.81
1480,450423.4
1481,313204.9
1482,210850.43
1483,174679.08
1484,179140.06
1485,172461.3
1486,197468.39
1487,324613.65
1488,247945.63
1489,217776.61
1490,200600.84
1491,188233.5
1492,96350.0
1493,175810.02
1494,305953.69
1495,294131.0
1496,224447.64
1497,192942.51
1498,154753.29
1499,154561.21
1500,155209.66
1501,176997.65
1502,167185.94
1503,307701.67
1504,233558.56
1505,220237.91
1506,182706.87
1507,213685.12
1508,205640.48
1509,163699.5
1510,150562.0
1511,147606.0
1512,167101.5
1513,153531.76
1514,166987.75
1515,176364.6
1516,163928.82
1517,152240.25
1518,130129.01
1519,223125.78
1520,133612.75
1521,141333.0
1522,163716.0
1523,115644.66
1524,121567.5
1525,124889.32
1526,128774.75
1527,103738.5
1528,126314.5
1529,140566.0
1530,165898.9
1531,126329.52
1532,109730.0
1533,150206.75
1534,117787.5
1535,154377.5
1536,115184.02
1537,80448.38
1538,183656.35
1539,231254.46
1540,107248.87
1541,152461.0
1542,147547.84
1543,222678.72
1544,85531.61
1545,102578.61
1546,119560.71
1547,142628.18
1548,138970.34
1549,116051.33
1550,142804.21
1551,117229.91
1552,149164.15
1553,144319.38
1554,108803.82
1555,179608.34
1556,100286.0
1557,124814.16
1558,95459.08
1559,115805.0
1560,153188.37
1561,153701.5
1562,127109.0
1563,125071.5
1564,164729.58
1565,155907.77
1566,219740.34
1567,79283.54
1568,222171.88
1569,144850.5
1570,122803.75
1571,134241.87
1572,143632.0
1573,236780.41
1574,120022.5
1575,208205.48
1576,216941.0
1577,209974.5
1578,159890.89
1579,142451.3
1580,190460.95
1581,137705.0
1582,130624.0
1583,335679.53
1584,236739.08
1585,141122.0
1586,75034.22
1587,105822.5
1588,145683.02
1589,102969.5
1590,131976.37
1591,105995.58
1592,122982.14
1593,119496.71
1594,132507.85
1595,115092.51
1596,237821.04
1597,165718.03
1598,183384.37
1599,209258.64
1600,196584.29
1601,79449.55
1602,111587.18
1603,96935.91
1604,285164.18
1605,258712.74
1606,168036.4
1607,169191.5
1608,218678.74
1609,200377.35
1610,161925.37
1611,150415.83
1612,158698.83
1613,169058.92
1614,121302.3
1615,86145.0
1616,79504.93
1617,87045.71
1618,128268.0
1619,132972.0
1620,151822.42
1621,138445.75
1622,153306.33
1623,292549.74
1624,209946.1
1625,132659.0
1626,177363.5
1627,191583.0
1628,281257.41
1629,173919.36
1630,355990.07
1631,230942.89
1632,245867.74
1633,172694.14
1634,182163.32
1635,181291.32
1636,159115.74
1637,171121.82
1638,213245.4
1639,180991.32
1640,257735.86
1641,187537.5
1642,218717.44
1643,227949.97
1644,228091.7
1645,184832.5
1646,149893.82
1647,163195.9
1648,139260.59
1649,138807.62
1650,119706.1
1651,121651.0
1652,91407.0
1653,95746.0
1654,158289.0
1655,161014.45
1656,151173.0
1657,157921.34
1658,149793.32
1659,149157.15
1660,144615.66
1661,443931.98
1662,402485.51
1663,368853.47
1664,453041.72
1665,303529.58
1666,330557.25
1667,356385.84
1668,331143.13
1669,299394.17
1670,331128.25
1671,267264.92
1672,470950.09
1673,304416.16
1674,258726.04
1675,186054.46
1676,191766.83
1677,214557.5
1678,474500.31
1679,381452.42
1680,310590.19
1681,261878.96
1682,304025.43
1683,187142.12
1684,169213.91
1685,173941.41
1686,169123.71
1687,167499.25
1688,183853.49
1689,187497.29
1690,184323.79
1691,174528.28
1692,261270.82
1693,170383.08
